Fuel_consumption,Accelerator_Pedal_value,Throttle_position_signal,Short_Term_Fuel_Trim_Bank1,Intake_air_pressure,Filtered_Accelerator_Pedal_value,Absolute_throttle_position,Engine_soacking_time,Inhibition_of_engine_fuel_cut_off,Engine_in_fuel_cut_off,Fuel_Pressure,Long_Term_Fuel_Trim_Bank1,Engine_speed,Engine_torque_after_correction,Torque_of_friction,Flywheel_torque_(after_torque_interventions),Current_spark_timing,Engine_coolant_temperature1,Engine_Idel_Target_Speed,Engine_torque,Calculated_LOAD_value,Minimum_indicated_engine_torque,Maximum_indicated_engine_torque,Flywheel_torque,Torque_scaling_factor(standardization),Standard_Torque_Ratio,Requested_spark_retard_angle_from_TCU,TCU_requests_engine_torque_limit_(ETL),TCU_requested_engine_RPM_increase,Target_engine_speed_used_in_lock-up_module,Glow_plug_control_request,Activation_of_Air_compressor,Torque_converter_speed,Current_Gear,Engine_coolant_temperature2,Wheel_velocity_front_left-hand,Wheel_velocity_rear_right-hand,Wheel_velocity_front_right-hand,Wheel_velocity_rear_left-hand,Torque_converter_turbine_speed_-_Unfiltered,Clutch_operation_acknowledge,Converter_clutch,Gear_Selection,Vehicle_speed,Acceleration_speed_-_Longitudinal,Indication_of_brake_switch_ON/OFF,Master_cylinder_pressure,Calculated_road_gradient,Acceleration_speed_-_Lateral,Steering_wheel_speed,Steering_wheel_angle,Time(s),Class,PathOrder
0,0,8.5,0,30,0,16.1,7,0,1,0,2.3,1790,0,13.7,-32.5,-7.5,86,0,0,21.2,0,74.6,-32.5,230,1,15,508,0,3040,0,1,1801.5,5,91,55.1,53.5,53.8,54.8,1801.5,0,1,5,52,-0.5,1,1.1,1,-0.9,8,-12.4,1010,I,1,
460.8,0,7.1,0.8,36,0,14.9,255,0,0,0,3.1,1449,14.1,11.7,-2.9,13.5,86,0,14.1,23.9,2,72.7,-2.6,230,1,15,508,0,3040,0,1,1441.8,2,77,16.1,15.8,16,16.1,1442.5,1,0,5,15,-0.1,1,1,0,0.3,0,0,2253,E,1,
76.8,0,7.5,0,0,0,15.3,1,0,0,0,2.3,1570,0,12.5,5.8,5.3,87,0,0,20.8,0,70.3,5.8,230,1,15,508,0,3040,0,1,1580,6,93,62.1,60.6,61.4,61.8,1580.5,1,0,5,59,-0.3,1,1.1,-3.5,0.1,0,1.2,1205,G,2,
281.6,0,6.1,3.9,0,0,14.1,2,0,0,0,3.9,1288,8.6,12.5,-10.7,7.5,83,0,8.6,18.4,2.3,66.4,-10.7,230,1,15,508,0,3040,0,1,1487,3,91,24.5,24,24,24.4,1487.5,1,0,5,23,-0.4,1,1.2,-4,0.3,0,29.3,1985,D,1,
1305.6,0,14.1,2.3,33,0,20.4,4,0,0,0,3.1,1994,35.2,13.7,27.8,29.6,84,0,35.2,49.8,2.3,77,27.8,230,1,15,508,0,3040,0,1,1993.5,5,94,60.6,59.8,60,60.1,1994.3,0,2,5,58,0.1,1,1.2,-0.5,0.2,8,15.2,1913,H,2,
1049.6,0,12.2,0,23,0,18.8,0,0,0,0,2.3,1825,32.4,15.2,42.4,30.8,84,0,32.4,46.3,2.3,75.8,42.4,230,1,15,508,0,3040,0,1,1663,3,94,27.6,26.5,26.8,27.5,1664.8,0,2,5,26,0.3,1,1,0,0,0,-2.3,1631,B,2,
614.4,5.9,8.9,-3.9,54,0,16.5,6,0,0,0,0.8,1415,26.6,15.2,19.2,27.8,87,0,26.6,39.2,2.3,67.2,19.2,230,1,15,508,0,3040,0,1,1326.8,3,99,22,20.9,21.1,21.9,1327.8,0,2,5,21,0,1,1.1,0,0,0,-0.6,1814,A,2,
435.2,0,6.6,2.3,5,0,14.5,6,0,0,0,3.9,1597,13.7,13.7,-4.9,22.9,86,0,13.3,20.8,2,72.7,-4.8,230,1,15,508,0,3040,0,1,1664,2,93,19.3,18.1,18.1,19.1,1664.5,1,0,5,18,-0.3,1,1.1,-2,-0.3,0,0.8,1746,C,1,
524.8,7.4,8.9,-0.8,38,0,16.1,0,0,0,0,3.9,1414,19.1,13.3,16.3,31.5,84,0,19.1,28.2,2.3,68,16.3,230,1,15,508,0,3040,0,1,1349.3,4,93,29.5,28.1,28.1,29.3,1349.5,1,0,5,28,-0.1,1,1.1,1,0.3,0,-0.5,2180,H,2,
268.8,0,6.1,10.2,25,0,14.1,6,0,0,0,4.7,1297,9,12.1,2.1,18.8,83,0,9,16.5,2,65.2,2.1,230,1,15,508,0,3040,0,1,1563,6,93,61.5,60.1,60.1,61.1,1563.3,1,0,5,59,-0.3,1,1.2,-0.5,0,0,-0.7,1595,J,2,
